# BLFS desktop build list for LFS 13.0-systemd — mapped from BLFS 13.0
# stable-systemd book 2026-07-09 (see config repo GATE-B-PLAN.md). Format:
# NN | name-version | url | md5 ("-" = none in book) | notes
# Build order is top to bottom. Preliminary: export XORG_PREFIX=/usr and
# XORG_CONFIG="--prefix=$XORG_PREFIX --sysconfdir=/etc --localstatedir=/var --disable-static"

001 | linux-pam-1.7.2 | https://github.com/linux-pam/linux-pam/releases/download/v1.7.2/Linux-PAM-1.7.2.tar.xz | 934c26eca3fada956356a30489e86291 | pam.d system-* files; then shadow+systemd reinstall
002 | shadow-4.19.3-REBUILD | reuse-lfs-source | - | reinstall with PAM per BLFS Linux-PAM page
003 | systemd-259.1-REBUILD | reuse-lfs-source | - | BLFS rebuild with PAM for logind/pam_systemd
004 | cmake-4.2.3 | https://cmake.org/files/v4.2/cmake-4.2.3.tar.gz | 803a1720ec822a8660118a38ca51fc1b | build tool
005 | libpng-1.6.55 | https://downloads.sourceforge.net/libpng/libpng-1.6.55.tar.xz | bc950b5a06ec1028285e14a127f6fb6e | cairo, feh
006 | freetype-2.14.1 | https://downloads.sourceforge.net/freetype/freetype-2.14.1.tar.xz | 78c7d7450fb7d0999ccd029f84094340 | --with-harfbuzz=dynamic, no rebuild
007 | fontconfig-2.17.1 | https://gitlab.freedesktop.org/api/v4/projects/890/packages/generic/fontconfig/2.17.1/fontconfig-2.17.1.tar.xz | f68f95052c7297b98eccb7709d817f6a | Xorg libs, pango
008 | graphite2-1.3.14 | https://github.com/silnrsi/graphite/releases/download/1.3.14/graphite2-1.3.14.tgz | 1bccb985a7da01092bfb53bb5041e836 | harfbuzz
009 | glib-2.86.4 | https://download.gnome.org/sources/glib/2.86/glib-2.86.4.tar.xz | f2233a826c952aaae42b4a61611a06a4 | i3/rofi/pipewire/polkit
010 | gobject-introspection-1.86.0 | https://download.gnome.org/sources/gobject-introspection/1.86/gobject-introspection-1.86.0.tar.xz | fa0f2ae76868bf35ff725f940d75ec16 | then glib rebuild -D introspection=enabled
011 | harfbuzz-12.3.2 | https://github.com/harfbuzz/harfbuzz/releases/download/12.3.2/harfbuzz-12.3.2.tar.xz | 10040432f566e50bda84bfba8ad80b8d | pango
012 | libjpeg-turbo-3.1.3 | https://github.com/libjpeg-turbo/libjpeg-turbo/releases/download/3.1.3/libjpeg-turbo-3.1.3.tar.gz | d23f3be7e58ad79d297845e64807472c | imlib2/feh/scrot
013 | giflib-5.2.2 | https://sourceforge.net/projects/giflib/files/giflib-5.2.2.tar.gz | 913dd251492134e235ee3c9a91987a4d | feh
014 | pixman-0.46.4 | https://www.cairographics.org/releases/pixman-0.46.4.tar.gz | c08173c8e1d2cc79428d931c13ffda59 | cairo, xorg-server, picom
015 | fribidi-1.0.16 | https://github.com/fribidi/fribidi/releases/download/v1.0.16/fribidi-1.0.16.tar.xz | 333ad150991097a627755b752b87f9ff | pango
016 | libxml2-2.15.1 | https://download.gnome.org/sources/libxml2/2.15/libxml2-2.15.1.tar.xz | fcf38f534bb8996984dba978ee3e27f4 | shared-mime-info
017 | shared-mime-info-2.4 | https://gitlab.freedesktop.org/xdg/shared-mime-info/-/archive/2.4/shared-mime-info-2.4.tar.gz | aac56db912b7b12a04fb0018e28f2f36 | gdk-pixbuf
